Hospital Name,Address,Contact No.
"HOLYLIFE HOSPITAL (FORMERLY UBF HEALTHCARE, INC.)","Lot 2 B-4 Pres. Quezon St., Lifehomes Subd., Rosario, Pasig City",382-5943; 7483501
ST. CAMILLUS MEDICAL CENTER,"116 E. Amang Rodriguez Ave., Pasig City",ER 682-0748 ; 645-3741 to 42 (trunkline)
"LA UNION MEDICAL DIAGNOSTIC CENTER & HOSPITAL,INC.","Ancheta St. corner Bucaneg St., San Fernando City, La Union",(072) 607.8339
M. V. SANTIAGO MEDICAL CENTER - (FCIE BRANCH)(FORMERLY M.V. SANTIAGO MEDICAL CENTER MULTI-SPECIALTY CLINIC),"Brgy., Langkaan, Dasmariï¿½as Cavite",(046) 402-1302 ; 09179044323
ALABANG MEDICAL CENTER,"Alabang-Zapote Road, Ayala Alabang Village, Muntinlupa City",(02) 807-8189 ; 775.0511 (trunkline)
ASIAN HOSPITAL AND MEDICAL CENTER,2205 CIVIC DRIVE ALABANG MUNTILUPA CITY,(02) 771-9000 to 02
CAPITOL MEDICAL CENTER,"QUEZON AVENUE, CORNER SCOUT MAGBANAU ST. QUEZON CITY",0999-991-1589 (02) 372-3825
CARDINAL SANTOS MEDICAL CENTER,"Wilson Street, Greenhills West, San Juan, Metro Manila",(02) 727-0001
CHINESE GENERAL HOSPITAL,"286 BLUMENTRIT ST. STA CRUZ, MANILA",(02) 711-4141 loc 645
ABELLA MIDWAY HOSPITAL,"4007 T.Valerio St.,Poblacion, Valencia City, Bukidnon",09552989702(088) 828-3533;
ACE MEDICAL CENTER SARIAYA INC.,National Hi-way Brgy. Gibanga Sariaya Quezon,9173098870
ACEBEDO GENERAL HOSPITAL,"849 General Luis St., Bagbaguin Caloocan City",983-5363; 736-3963
ADVENTIST HOSPITAL - CEBU,"400 Tres De Abril St., San Nicolas, Cebu City",(032) 261-2100
"ADVENTIST HOSPITAL - DAVAO, INC. (FORMERLY DAVAO ADVENTIST HOSPITAL)","Km. 7 Mc Arthur Highway, Bangkal, Davao City  8023",082-297.2597
